-------------------------------------------------------------------------------------------------------
IN Distance, Left, Right, Wall, Shoot, OUT Distance, Left, Right, Wall, Shoot ,ChoiceMode, Error  
0.664351, 0.000000, 1.000000, 1.000000, 0.000000, 0.005413, 0.000044, 0.015915, 0.964019, 0.000107, WALLAVOID, 0.000000%  
0.663217, 0.000000, 1.000000, 1.000000, 0.000000, 0.005402, 0.000044, 0.015816, 0.964078, 0.000106, WALLAVOID, 0.000000%  
0.662063, 0.000000, 1.000000, 1.000000, 0.000000, 0.005391, 0.000044, 0.015717, 0.964137, 0.000106, WALLAVOID, 0.000000%  
0.660800, 0.000000, 1.000000, 1.000000, 0.000000, 0.005380, 0.000044, 0.015609, 0.964202, 0.000106, WALLAVOID, 0.000000%  
0.660199, 0.000000, 1.000000, 1.000000, 0.000000, 0.005374, 0.000043, 0.015558, 0.964233, 0.000105, WALLAVOID, 0.000000%  
0.660199, 0.000000, 1.000000, 1.000000, 0.000000, 0.005374, 0.000043, 0.015558, 0.964233, 0.000105, WALLAVOID, 0.000000%  
0.660227, 0.000000, 1.000000, 1.000000, 0.000000, 0.005375, 0.000043, 0.015560, 0.964231, 0.000105, WALLAVOID, 0.000000%  
0.659110, 0.000000, 1.000000, 1.000000, 0.000000, 0.005365, 0.000043, 0.015466, 0.964289, 0.000105, WALLAVOID, 0.000000%  
0.657963, 0.000000, 1.000000, 1.000000, 0.000000, 0.005354, 0.000043, 0.015369, 0.964347, 0.000105, WALLAVOID, 0.000000%  
0.656650, 0.000000, 1.000000, 1.000000, 0.000000, 0.005342, 0.000043, 0.015260, 0.964413, 0.000104, WALLAVOID, 0.000000%  
0.657858, 0.000000, 1.000000, 1.000000, 0.000000, 0.005353, 0.000043, 0.015361, 0.964352, 0.000105, WALLAVOID, 0.000000%  
0.659104, 0.000000, 1.000000, 1.000000, 0.000000, 0.005364, 0.000043, 0.015465, 0.964289, 0.000105, WALLAVOID, 0.000000%  
0.660390, 0.000000, 1.000000, 1.000000, 0.000000, 0.005376, 0.000043, 0.015574, 0.964223, 0.000105, WALLAVOID, 0.000000%  
0.661714, 0.000000, 1.000000, 1.000000, 0.000000, 0.005388, 0.000044, 0.015687, 0.964155, 0.000106, WALLAVOID, 0.000000%  
0.663078, 0.000000, 1.000000, 1.000000, 0.000000, 0.005401, 0.000044, 0.015804, 0.964085, 0.000106, WALLAVOID, 0.000000%  
0.664479, 0.000000, 1.000000, 1.000000, 0.000000, 0.005414, 0.000044, 0.015926, 0.964013, 0.000107, WALLAVOID, 0.000000%  
0.665919, 0.000000, 1.000000, 1.000000, 0.000000, 0.005427, 0.000045, 0.016052, 0.963938, 0.000107, WALLAVOID, 0.000000%  
0.667396, 0.000000, 0.000000, 1.000000, 0.000000, 0.037399, 0.000456, 0.000088, 0.976776, 0.001154, WALLAVOID, 0.000000%  
0.668911, 0.000000, 0.000000, 1.000000, 0.000000, 0.037504, 0.000459, 0.000089, 0.976729, 0.001159, WALLAVOID, 0.000000%  
0.669619, 0.000000, 0.000000, 1.000000, 0.000000, 0.037554, 0.000461, 0.000089, 0.976706, 0.001162, WALLAVOID, 0.000000%  
0.657924, 0.000000, 1.000000, 1.000000, 0.000000, 0.005354, 0.000043, 0.015366, 0.964349, 0.000105, WALLAVOID, 0.000000%  
0.646301, 0.000000, 1.000000, 1.000000, 0.000000, 0.005250, 0.000041, 0.014428, 0.964930, 0.000101, WALLAVOID, 0.000000%  
0.634753, 0.000000, 1.000000, 1.000000, 0.000000, 0.005150, 0.000039, 0.013560, 0.965490, 0.000098, WALLAVOID, 0.000000%  
0.623284, 0.000000, 1.000000, 1.000000, 0.000000, 0.005054, 0.000037, 0.012757, 0.966027, 0.000095, WALLAVOID, 0.000000%  
0.611899, 0.000000, 1.000000, 0.000000, 0.000000, 0.061443, 0.002217, 0.904026, 0.025539, 0.002523, SEARCH, 0.000000%  
0.599399, 0.000000, 1.000000, 1.000000, 0.000000, 0.004863, 0.000033, 0.011254, 0.967093, 0.000089, WALLAVOID, 0.000000%  
0.587807, 0.000000, 1.000000, 0.000000, 0.000000, 0.058649, 0.001992, 0.892407, 0.026570, 0.002365, SEARCH, 0.000000%  
0.575308, 0.000000, 0.000000, 0.000000, 0.000000, 0.529721, 0.026030, 0.018419, 0.020918, 0.066754, SEARCH, 0.000000%  
0.567842, 0.000000, 0.000000, 1.000000, 0.000000, 0.031325, 0.000280, 0.000055, 0.979457, 0.000881, WALLAVOID, 0.000000%  
0.568508, 0.000000, 0.000000, 1.000000, 0.000000, 0.031361, 0.000281, 0.000055, 0.979442, 0.000882, WALLAVOID, 0.000000%  
0.569219, 0.000000, 0.000000, 1.000000, 0.000000, 0.031399, 0.000282, 0.000056, 0.979425, 0.000884, WALLAVOID, 0.000000%  
0.569974, 0.000000, 0.000000, 1.000000, 0.000000, 0.031440, 0.000283, 0.000056, 0.979408, 0.000886, WALLAVOID, 0.000000%  
0.570773, 0.000000, 0.000000, 1.000000, 0.000000, 0.031483, 0.000284, 0.000056, 0.979389, 0.000888, WALLAVOID, 0.000000%  
0.571615, 0.000000, 0.000000, 1.000000, 0.000000, 0.031528, 0.000285, 0.000056, 0.979370, 0.000890, WALLAVOID, 0.000000%  
0.572501, 0.000000, 0.000000, 1.000000, 0.000000, 0.031576, 0.000287, 0.000056, 0.979350, 0.000892, WALLAVOID, 0.000000%  
0.573430, 0.000000, 0.000000, 1.000000, 0.000000, 0.031626, 0.000288, 0.000057, 0.979328, 0.000894, WALLAVOID, 0.000000%  
0.574402, 0.000000, 0.000000, 0.000000, 0.000000, 0.529228, 0.025917, 0.018331, 0.020948, 0.066581, SEARCH, 0.000000%  
0.560673, 0.000000, 0.000000, 0.000000, 0.000000, 0.521715, 0.024250, 0.017033, 0.021404, 0.063989, SEARCH, 0.000000%  
0.540716, 0.000000, 0.000000, 0.000000, 0.000000, 0.510663, 0.021974, 0.015280, 0.022089, 0.060329, SEARCH, 0.000000%  
0.520761, 0.000000, 0.000000, 0.000000, 0.000000, 0.499470, 0.019868, 0.013676, 0.022799, 0.056802, SEARCH, 0.000000%  
0.500809, 0.000000, 0.000000, 0.000000, 0.000000, 0.488150, 0.017925, 0.012213, 0.023537, 0.053411, SEARCH, 0.000000%  
0.480860, 0.000000, 0.000000, 0.000000, 0.000000, 0.476717, 0.016137, 0.010884, 0.024301, 0.050156, SEARCH, 0.000000%  
0.460914, 0.000000, 0.000000, 0.000000, 0.000000, 0.465188, 0.014497, 0.009679, 0.025094, 0.047041, SEARCH, 0.000000%  
0.447193, 0.000000, 0.000000, 0.000000, 0.000000, 0.457208, 0.013450, 0.008918, 0.025657, 0.044979, SEARCH, 0.000000%  
0.441062, 0.000000, 0.000000, 0.000000, 0.000000, 0.453632, 0.013003, 0.008595, 0.025913, 0.044078, SEARCH, 0.000000%  
0.435299, 0.000000, 0.000000, 0.000000, 0.000000, 0.450265, 0.012594, 0.008301, 0.026156, 0.043244, SEARCH, 0.000000%  
0.429920, 1.000000, 0.000000, 0.000000, 0.000000, 0.046062, 0.734491, 0.000749, 0.033039, 0.002335, SEARCH, 0.000000%  
0.432370, 0.000000, 0.000000, 0.000000, 0.000000, 0.448552, 0.012390, 0.008155, 0.026281, 0.042825, SEARCH, 0.000000%  
0.442612, 1.000000, 0.000000, 0.000000, 0.000000, 0.047121, 0.747505, 0.000805, 0.032544, 0.002440, SEARCH, 0.000000%  
0.445719, 1.000000, 0.000000, 0.000000, 0.000000, 0.047383, 0.750602, 0.000819, 0.032424, 0.002466, SEARCH, 0.000000%  
0.449153, 0.000000, 0.000000, 0.000000, 0.000000, 0.458350, 0.013596, 0.009024, 0.025576, 0.045269, SEARCH, 0.000000%  
0.445460, 1.000000, 0.000000, 0.000000, 0.000000, 0.047361, 0.750345, 0.000818, 0.032434, 0.002464, SEARCH, 0.000000%  
0.449550, 1.000000, 0.000000, 0.000000, 0.000000, 0.047708, 0.754374, 0.000837, 0.032277, 0.002499, SEARCH, 0.000000%  
0.453948, 0.000000, 0.000000, 0.000000, 0.000000, 0.461141, 0.013957, 0.009286, 0.025378, 0.045986, SEARCH, 0.000000%  
0.451199, 1.000000, 0.000000, 0.000000, 0.000000, 0.047848, 0.755980, 0.000845, 0.032213, 0.002513, SEARCH, 0.000000%  
0.456209, 1.000000, 0.000000, 0.000000, 0.000000, 0.048277, 0.760805, 0.000869, 0.032022, 0.002556, SEARCH, 0.000000%  
0.461504, 0.000000, 0.000000, 0.000000, 0.000000, 0.465530, 0.014543, 0.009713, 0.025071, 0.047131, SEARCH, 0.000000%  
0.459624, 1.000000, 0.000000, 0.000000, 0.000000, 0.048571, 0.764042, 0.000885, 0.031892, 0.002586, SEARCH, 0.000000%  
0.465482, 1.000000, 0.000000, 0.000000, 0.000000, 0.049079, 0.769498, 0.000915, 0.031671, 0.002638, SEARCH, 0.000000%  
0.471597, 0.000000, 0.000000, 0.000000, 0.000000, 0.471374, 0.015357, 0.010310, 0.024666, 0.048692, SEARCH, 0.000000%  
0.470505, 1.000000, 0.000000, 0.000000, 0.000000, 0.049518, 0.774082, 0.000941, 0.031483, 0.002684, SEARCH, 0.000000%  
0.477129, 0.000000, 0.000000, 0.000000, 0.000000, 0.474567, 0.015819, 0.010650, 0.024447, 0.049563, SEARCH, 0.000000%  
0.471357, 0.000000, 0.000000, 0.000000, 0.000000, 0.471235, 0.015338, 0.010295, 0.024676, 0.048655, SEARCH, 0.000000%  
0.463893, 0.000000, 0.000000, 0.000000, 0.000000, 0.466916, 0.014733, 0.009852, 0.024974, 0.047497, SEARCH, 0.000000%  
0.456431, 1.000000, 0.000000, 0.000000, 0.000000, 0.048296, 0.761016, 0.000870, 0.032014, 0.002558, SEARCH, 0.000000%  
0.456431, 0.000000, 0.000000, 0.000000, 1.000000, 0.068159, 0.015041, 0.016621, 0.005773, 0.651099, ATTACK, 0.000000%  
0.462046, 0.000000, 0.000000, 1.000000, 1.000000, 0.003374, 0.000179, 0.000102, 0.911619, 0.018283, WALLAVOID, 0.000000%  
0.461652, 0.000000, 0.000000, 0.000000, 1.000000, 0.068872, 0.015446, 0.017099, 0.005727, 0.654719, ATTACK, 0.000000%  
0.469144, 0.000000, 0.000000, 1.000000, 1.000000, 0.003409, 0.000185, 0.000105, 0.911083, 0.018632, WALLAVOID, 0.000000%  
0.468876, 0.000000, 0.000000, 0.000000, 1.000000, 0.069867, 0.016021, 0.017779, 0.005664, 0.659664, ATTACK, 0.000000%  
